Date,Open,High,Low,Last,Close,Volume,Total Traded,MA50,MA200,returns,Cumulative Return
2016-07-26,506.05,513.35,502.1,502.95,503.25,6187499,3131183868.9500003,454.81399999999996,,-0.011296660117878221,1.2521771584971406
2016-07-27,507.75,513.05,505.5,509.35,510.1,5193425,2636961543.75,457.22200000000004,,0.013611525086934861,1.2692211993033113
2016-07-28,510.0,511.9,498.75,508.75,506.85,6338260,3232512600.0,459.662,,-0.006371299745148051,1.2611346105996537
2016-07-29,507.8,510.5,501.1,503.35,503.2,3746332,1902387389.6000001,461.98800000000006,,-0.007201341619808677,1.2520527494401612
2016-08-01,506.8,514.9,505.5,507.85,508.25,4748497,2406538279.6,464.464,,0.01003577106518283,1.2646180641950753
2016-08-02,510.0,511.2,491.15,494.75,493.3,5251838,2678437380.0,466.695,,-0.029414658140678784,1.22741975615825
2016-08-03,494.5,499.5,475.5,479.3,478.4,7925049,3918936730.5,468.481,,-0.030204743563754355,1.1903458571784042
2016-08-04,490.1,501.45,488.6,500.55,500.0,9476008,4644191520.8,470.541,,0.045150501672240884,1.2440905697934828
2016-08-05,507.2,518.7,502.15,517.0,516.4,6393514,3242790300.7999997,472.88399999999996,,0.03279999999999994,1.284896740482709
2016-08-08,518.2,522.6,513.4,514.55,514.8,4649302,2409268296.4,475.102,,-0.0030983733539892144,1.2809156506593697
2016-08-09,521.0,522.0,509.2,513.4,513.8,6015760,3134210960.0,476.95300000000003,,-0.0019425019425018952,1.2784274695197828
2016-08-10,515.6,516.5,502.3,503.65,503.45,6371139,3284959268.4,477.82899999999995,,-0.02014402491241718,1.2526747947250578
2016-08-11,503.75,505.0,495.1,502.4,503.25,4112806,2071826022.5,478.91,,-0.00039725891349684517,1.2521771584971404
2016-08-12,506.9,519.5,506.15,516.0,516.8,7167435,3633172801.5,480.177,,0.026924987580725146,1.2858920129385436
2016-08-16,512.95,515.0,503.3,506.5,507.6,6034295,3095291620.2500005,481.25,,-0.01780185758513919,1.2630007464543438
2016-08-17,511.1,514.25,505.85,509.4,510.4,5853980,2991969178.0,482.24800000000005,,0.005516154452324562,1.2699676536451872
2016-08-18,512.4,517.9,510.75,510.75,512.05,4990558,2557161919.2,483.228,,0.003232758620689502,1.2740731525255053
2016-08-19,514.0,515.0,508.2,509.8,510.0,4567273,2347578322.0,484.105,,-0.004003515281710723,1.268972381189352
2016-08-22,509.1,513.6,503.1,504.0,503.95,4330313,2204562348.3,484.84100000000007,,-0.011862745098039196,1.253918885294851
2016-08-23,505.25,508.6,500.45,504.5,504.0,5342115,2699103603.75,485.78200000000004,,9.921619208252963e-05,1.2540432943518305
2016-08-24,504.7,506.05,493.6,498.0,498.35,5189459,2619119957.2999997,486.86400000000003,,-0.01121031746031742,1.2399850709131641
2016-08-25,498.35,503.3,491.3,492.8,493.85,8787262,4379132017.7,487.77299999999997,,-0.009029798334503902,1.2287882557850227
2016-08-26,502.0,515.35,486.0,514.25,503.75,16347856,8206623712.0,488.806,,0.02004657284600575,1.2534212490669334
2016-08-29,522.5,528.75,515.4,525.15,525.3,12534399,6549223477.5,490.225,,0.042779156327543255,1.3070415526250323
2016-08-30,528.5,530.8,524.1,529.8,529.0,6611147,3493991189.5,491.51700000000005,,0.007043594136683984,1.3162478228415042
2016-08-31,529.0,548.8,529.0,538.0,537.7,15725942,8319023318.0,492.63,,0.016446124763705106,1.3378949987559108
2016-09-01,540.5,546.65,540.0,544.75,543.65,7571854,4092587087.0,493.805,,0.011065649990700921,1.352699676536453
2016-09-02,552.0,555.9,549.1,549.5,549.85,10097146,5573624592.0,495.34799999999996,,0.011404396210797474,1.3681263996018922
2016-09-06,556.35,593.3,556.35,587.75,588.7,15813178,8797661580.300001,497.36299999999994,,0.07065563335455138,1.464792236874846
2016-09-07,590.0,598.4,584.0,589.25,587.4,13408927,7911266930.0,500.12300000000005,,-0.002208255478172383,1.4615576013933829
2016-09-08,590.75,591.7,577.75,585.0,584.2,10456258,6177034413.5,502.82800000000003,,-0.005447735784814278,1.4535954217467049
2016-09-09,580.0,582.95,571.7,573.0,573.25,7159068,4152259440.0,505.485,,-0.018743580965422835,1.4263498382682276
2016-09-12,551.0,560.0,549.25,553.75,553.45,7055294,3887466994.0,507.6089999999999,,-0.03453990405582197,1.3770838517044057
2016-09-14,556.25,565.35,544.1,564.2,560.5,12364724,6877877725.0,509.63399999999996,,0.012738278073900045,1.3946255287384939
2016-09-15,562.0,566.25,555.4,558.5,557.55,5258859,2955478758.0,511.62700000000007,,-0.0052631578947369695,1.387285394376712
2016-09-16,562.4,568.2,546.35,550.6,548.7,10931845,6148069628.0,513.211,,-0.015873015873015706,1.3652649912913677
2016-09-19,553.8,556.4,549.45,553.75,554.45,6979269,3865119172.2,515.082,,0.010479314743940149,1.3795720328439927
2016-09-20,555.0,556.3,545.5,546.9,548.45,6874462,3815326410.0,516.948,,-0.010821534854360215,1.3646429460064708
2016-09-21,548.6,556.4,544.0,550.1,549.9,5919149,3247245141.4,518.62,,0.002643814385996812,1.3682508086588718
2016-09-22,561.2,562.95,551.35,557.4,558.45,6012388,3374152145.6000004,520.097,,0.0155482815057284,1.3895247574023406
2016-09-23,558.5,558.5,551.2,554.5,553.05,4840360,2703341060.0,521.4720000000001,,-0.00966962127316695,1.3760885792485709
2016-09-26,549.95,549.95,533.75,535.8,535.3,6858574,3771872771.3,522.556,,-0.032094747310369764,1.3319233640209023
2016-09-27,537.7,542.0,530.25,533.7,531.95,4912743,2641581911.1000004,523.4730000000001,,-0.006258172987109845,1.3235879572032863
2016-09-28,533.0,545.4,531.5,540.4,540.0,6604953,3520439949.0,524.393,,0.015133001221919296,1.3436178153769613
2016-09-29,543.0,546.9,516.65,525.0,526.3,9315794,5058476142.0,525.066,,-0.025370370370370487,1.3095297337646197
2016-09-30,525.6,536.55,521.2,534.6,534.85,5659248,2974500748.8,525.7779999999999,,0.01624548736462117,1.3308036825080884
2016-10-03,539.4,546.0,539.0,541.5,540.8,4505939,2430503496.6,526.716,,0.011124614377862718,1.3456083602886306
2016-10-04,547.4,552.4,540.65,552.0,549.95,5715454,3128639519.6,527.894,,0.01691937869822513,1.3683752177158517
2016-10-05,555.3,562.4,549.75,557.3,559.65,5929204,3292486981.2,528.943,,0.017637967087916984,1.3925105747698452
2016-10-06,563.1,564.2,549.1,551.75,551.45,4273945,2406658429.5,529.792,,-0.014652014652014489,1.3721074894252323
